"Model","Parameters","Rhat","ESS","Median","HPD90lower","HPD90upper"
"m1","r",1,38776.1266061355,0.00131765203108926,0.00112668763637044,0.00161283355209268
"m2","r1",1,25206.7581183353,2723.53059359323,-0.000735732899140882,0.000283307698392189
"m2","r2",1,19585.1439713178,2683.14490261068,0.00184383667171138,0.00278927762619184
"m2","c",1,18148.1061892063,1950,837,596
"m3","r1",1,26375.5528485374,2642.11117398839,-0.000792912608218614,0.000216177046621109
"m3","r2",1,10178.1281532192,2661.61625842801,0.00196486328550199,0.00394122170090015
"m3","k",1,12127.9360413097,2614.75484684749,0.000116644643810169,0.151201084307893
"m3","c",1.001,15459.5709351887,1950,812,582
